start_time,end_time,activity,place,address,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity,
2018-05-01 16:40,2018-05-01 16:50,능동적 여가|담배,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통,
2018-05-01 16:50,2018-05-01 17:10,업부|작업,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,매우 긍정,낮음,보통,보통,
2018-05-01 17:10,2018-05-01 17:55,업무|레슨,집|방,성남시 분당구 야탑동,실내,데면한 관계,/,/,/,아니오,보통,낮음,낮음,낮음,
2018-05-01 17:55,2018-05-01 18:05,능동적 여가|담배,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,낮음,보통,보통,
2018-05-01 18:05,2018-05-01 19:10,업무|레슨,집|방,성남시 분당구 야탑동,실내,데면한 관계,/,/,/,아니오,보통,낮음,낮음,낮음,
2018-05-01 19:10,2018-05-01 20:30,수동적여가|TV,집|거실,성남시 분당구 야탑동,실내,친밀한 관계|가족,/,/,/,아니오,보통,높음,낮음,낮음,
2018-05-01 20:20,2018-05-01 20:30,기타|식사준비,집|부엌,성남시 분당구 야탑동,실내,혼자,/,/,/,예,보통,낮음,낮음,납음,
2018-05-01 20:30,2018-05-01 21:00,식사,집|부엌,성남시 분당구 야탑동,실내,혼자,기타|라면,많음,저녁,아니오,매우 긍정,낮음,매우 높음,높음,
2018-05-01 21:00,2018-05-01 21:15,청소|설거지,집|부엌,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,보통,보통,
2018-05-01 21:15,2018-05-01 21:20,기타|양치,집|화장실,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,낮음,보통,높음,
2018-05-01 21:20,2018-05-01 22:00,사교,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,높음,낮음,낮음,
2018-05-01 22:00,2018-05-01 22:15,청소,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,보통,
2018-05-01 22:15,2018-05-01 23:00,업부|작업,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,낮음,
2018-05-01 23:00,2018-05-01 23:10,능동적 여가|담배,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,낮음,매우 낮음,보통,
2018-05-01 23:10,2018-05-01 21:35,업무|작업,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통,
2018-05-01 21:35,2018-05-01 21:40,사교|SNS,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,보통,
2018-05-01 21:40,2018-05-01 22:45,공부,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,보통,높음,낮음,보통,
2018-05-01 22:45,2018-05-01 23:00,사교|연락,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,보통,
2018-05-01 23:00,2018-05-01 23:20,수동적 여가|웹툰,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,매우 긍정,낮음,낮음,보통,
2018-05-01 23:20,2018-05-01 23:40,사교|SNS,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,부정,낮음,낮음,보통,
2018-05-01 23:40,2018-05-02 00:00,업부|작업,집|방,성남시 분당구 야탑동,실내,혼자,/,/,/,아니오,긍정,낮음,낮음,보통
