start_time,end_time,activity,place,서울시 동대문구 답십리동,location,person,food,amount_of_food,meal_type,hunger,emotion,tiredness,temperature,humidity
2018-10-12 12:00,2018-10-12 12:20,청소|짐정리,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,혼자,기타|커피,매우 적음,간식,예,보통,높음,보통,낮음
2018-10-12 12:20,2018-10-12 12:30,업무|학생지도,기타|이사금 유스호스텔,경상북도 경주시 신평동,실내,친밀한 관계|1-3 학생들,/,/,/,예,보통,보통,보통,낮음
2018-10-12 12:30,2018-10-12 17:30,이동,야외|도로,경상북도 경주시 신평동,실외,친밀한 관계|1-3 학생들,한식|제육덮밥과 무어묵국,많음,점심,예,긍정,보통,보통,낮음
2018-10-12 17:30,2018-10-12 17:50,업무|학생지도,기타|문경휴게소,경상북도 문경시 유곡동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,긍정,보통,보통,낮음
2018-10-12 17:50,2018-10-12 18:00,식사,기타|문경휴게소,경상북도 문경시 유곡동,실외,혼자,기타||김밥,많음,저녁,아니오,긍정,보통,보통,보통
2018-10-12 18:00,2018-10-12 19:00,이동,야외|도로,경상북도 문경시 유곡동,실외,친밀한 관계|1-3 학생들,/,/,/,아니오,긍정,높음,보통,보통
2018-10-12 19:00,2018-10-12 19:20,능동적 여가|샤워,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,보통,높음,높음,보통
2018-10-12 19:20,2018-10-12 19:30,청소|짐정리,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-10-12 19:30,2018-10-12 21:30,수면,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,부정,높음,높음,보통
2018-10-12 21:30,2018-10-12 21:50,사교,집,서울시 동대문구 답십리동,실내,친밀한 관계|가족,기타|과일,많음,간식,예,보통,높음,높음,보통
2018-10-12 21:50,2018-10-12 22:00,사교|통화,집,서울시 동대문구 답십리동,실내,친밀한 관계|애인,/,/,/,아니오,보통,높음,높음,보통
2018-10-12 22:00,2018-10-12 22:40,수동적 여가|책읽기,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,부정,높음,보통,보통
2018-10-12 22:40,2018-10-12 22:45,이동,야외,서울시 동대문구 답십리동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-10-12 22:45,2018-10-12 22:55,기타|쇼핑,상점|편의점,서울시 동대문구 답십리동,실외,친밀한 관계|가족,/,/,/,아니오,보통,높음,보통,보통
2018-10-12 22:55,2018-10-12 23:00,이동,야외,서울시 동대문구 답십리동,실외,혼자,/,/,/,아니오,보통,높음,보통,보통
2018-10-12 23:00,2018-10-12 23:40,수동적 여가|영화,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-10-12 23:40,2018-10-12 23:50,능동적 여가|샤워,집,서울시 동대문구 답십리동,실외,혼자,/,/,/,아니오,긍정,보통,보통,보통
2018-10-12 23:50,2018-10-12 23:59,수면,집,서울시 동대문구 답십리동,실내,혼자,/,/,/,아니오,긍정,보통,보통,보통
